name,fid,kid,is_mean,is_std,precision,recall,density,coverage,lpips,ssim,psnr,ms_ssim,vendi_score,intra_lpips,throughput,duration,nfe,flops,memory_gb,num_samples,error
DDPM_1000,492.0482967917162,-1.0,1.0,2.8097899118506575e-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.2379714286080166,4.468332290649414,1000,-1.0,0.11456584930419922,10,
DDIM_100,428.560121465898,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.873456501356628,0.4790773391723633,100,-1.0,0.2039031982421875,10,
DDIM_50,448.05273595797235,-1.0,1.0,5.2566356600891595e-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.10479001717965,0.24328064918518066,50,-1.0,0.11456584930419922,10,
