name,fid,kid,is_mean,is_std,precision,recall,density,coverage,lpips,ssim,psnr,ms_ssim,vendi_score,intra_lpips,throughput,duration,nfe,flops,memory_gb,num_samples,error
DDPM_1000,72.24962606542294,0.013513877056539059,4.246872901916504,0.333721786737442,0.0,0.0010000000474974513,1.023800015449524,0.7649999856948853,0.21208597719669342,0.08144771307706833,9.08544635772705,-1.0,13.228948593139648,0.20348174761235713,7.909373760395938,126.4322600364685,1000,1183465472.0,0.11749982833862305,1000,
DDIM_100,76.230706637389,0.01378067210316658,4.291600704193115,0.1962893307209015,0.0,0.004999999888241291,0.9132000207901001,0.7279999852180481,0.222250297665596,0.07760917395353317,8.967565536499023,-1.0,13.235405921936035,0.22060063567012547,29.73097972433894,33.63494944572449,100,1183465472.0,0.1174020767211914,1000,
DDIM_50,77.19583480584305,0.013909367844462395,4.330024242401123,0.3060438632965088,0.0010000000474974513,0.032999999821186066,0.8655999898910522,0.7459999918937683,0.22286437451839447,0.08718672394752502,9.454158782958984,-1.0,13.129063606262207,0.2203129527568817,57.90051281448129,17.27100419998169,50,1183465472.0,0.11792850494384766,1000,
DDIM_25,79.46450348724193,0.01882646232843399,4.288930892944336,0.16272388398647308,0.0010000000474974513,0.0020000000949949026,0.8736000061035156,0.6980000138282776,0.22120362520217896,0.08947122097015381,10.027976036071777,-1.0,12.515388488769531,0.21463533280044794,73.46898080335468,13.611186504364014,25,1183465472.0,0.1177363395690918,1000,
DDIM_10,80.72544791530015,0.022657131776213646,4.270451545715332,0.23757031559944153,0.0,0.004000000189989805,0.7301999926567078,0.597000002861023,0.21595247089862823,0.09525628387928009,10.701395034790039,-1.0,12.010181427001953,0.1937635785229504,287.95761878643793,3.47273325920105,10,1183465472.0,0.1179971694946289,1000,
StepDrop_Linear_0.3,83.72814491631311,0.022528626024723053,3.9508118629455566,0.1869613528251648,0.0010000000474974513,0.014999999664723873,0.983199954032898,0.6629999876022339,0.19797998666763306,0.06549610942602158,9.855409622192383,-1.0,11.600319862365723,0.16806956020742655,3.768173972071816,265.3805284500122,700,1183465472.0,0.11797428131103516,1000,
StepDrop_Linear_0.5,84.86926225694708,0.021502522751688957,4.080647945404053,0.2238488644361496,0.0010000000474974513,0.0010000000474974513,1.0365999937057495,0.6729999780654907,0.19897150993347168,0.07160399109125137,9.946036338806152,-1.0,11.385250091552734,0.17265349306166172,4.263326466781801,234.55862641334534,500,1183465472.0,0.1177363395690918,1000,
StepDrop_CosineSq_0.3,82.3410544991529,0.022318918257951736,3.8624017238616943,0.29113489389419556,0.0,0.004999999888241291,1.010599970817566,0.671999990940094,0.19545018672943115,0.06919623911380768,9.89515495300293,-1.0,11.503293991088867,0.16996902804449202,3.3511539347564403,298.4046747684479,700,1183465472.0,0.11792850494384766,1000,
StepDrop_CosineSq_0.5,83.80368077985958,0.023022014647722244,3.8963985443115234,0.3558923006057739,0.0,0.004000000189989805,1.0210000276565552,0.6629999876022339,0.1971835196018219,0.06766953319311142,9.948994636535645,-1.0,11.426451683044434,0.17036914519965649,3.8604643002852725,259.03619933128357,500,1183465472.0,0.11802005767822266,1000,
StepDrop_Quadratic_0.3,81.13438277331426,0.022561566904187202,3.9384026527404785,0.3168577253818512,0.0,0.003000000026077032,1.0003999471664429,0.6620000004768372,0.19509269297122955,0.06812378019094467,9.91353988647461,-1.0,11.625689506530762,0.17580851732566952,2.9856535508098303,334.9350428581238,750,1183465472.0,0.11742496490478516,1000,
StepDrop_Quadratic_0.5,81.91384567996852,0.022358544170856476,3.933673620223999,0.2891627848148346,0.0,0.006000000052154064,1.0169999599456787,0.6629999876022339,0.1970997452735901,0.06750798225402832,9.930830955505371,-1.0,11.753646850585938,0.17610086239874362,3.430195995960232,291.5285310745239,550,1183465472.0,0.1174020767211914,1000,
StepDrop_Adaptive,81.44943969393421,0.021816717460751534,3.8938686847686768,0.27969491481781006,0.0,0.0020000000949949026,0.9298000335693359,0.6520000100135803,0.2002773880958557,0.07223887741565704,10.020973205566406,-1.0,11.589869499206543,0.17242928420752288,3.142501818857085,318.2177951335907,700,1183465472.0,0.11792850494384766,1000,
StepDrop_Target50_Uniform,78.59886074530857,0.016886688768863678,4.460447788238525,0.275572270154953,0.0,0.008999999612569809,0.9362000226974487,0.7319999933242798,0.2324194461107254,0.08575356006622314,8.9661226272583,-1.0,13.509785652160645,0.23998304624855518,48.820683011680266,20.483121871948242,50,1183465472.0,0.23169994354248047,1000,
StepDrop_Target50_Importance,76.04707433699849,0.01413399912416935,4.3257317543029785,0.32097482681274414,0.0,0.0,0.8166000247001648,0.7110000252723694,0.21878176927566528,0.07588140666484833,9.38013744354248,-1.0,13.558487892150879,0.22470183259248733,49.027410051772534,20.396753549575806,50,1183465472.0,0.3151969909667969,1000,
StepDrop_Target50_Stochastic,89.029062797753,0.040194958448410034,3.7081143856048584,0.25458815693855286,0.0,0.0,0.6787999868392944,0.5270000100135803,0.22429661452770233,0.10952118784189224,11.071480751037598,-1.0,12.191594123840332,0.19494779670238496,48.974134552041576,20.418941736221313,50,1183465472.0,0.3151969909667969,1000,
StepDrop_Target25_Importance,77.60660399125743,0.017407512292265892,4.127548694610596,0.4159923493862152,0.0010000000474974513,0.004999999888241291,0.8567999601364136,0.722000002861023,0.2307671755552292,0.08898922801017761,9.205424308776855,-1.0,13.671091079711914,0.2344521138817072,96.75935259350828,10.33491826057434,25,1183465472.0,0.3151969909667969,1000,
